crop,crop_id,LandAcres,avg_per_year
wheat,11,2,66.2244
wheat,11,5,165.561
wheat,11,3,99.3366
wheat,11,6,178.8058
wheat,11,11,214.5670
wheat,11,7,174.8323
rice,12,1,101.1236
rice,12,6,606.7416
rice,12,5,378.25692
rice,12,4,330.7015
rice,12,2,249.6470
rice,12,3,263.6878
rice,12,0.6,60.67416
rice,12,0.4,40.44944
rice,12,0.1,10.11236
rice,12,0.2,34.3820
sugarcane,13,1,135.7654
sugarcane,13,4,529.0616
sugarcane,13,2,271.5308
sugarcane,13,3,292.7385
sugarcane,13,6,560.03359
sugarcane,13,5,545.7692
sugarcane,13,7,565.0957
sugarcane,13,8,572.4124
sugarcane,13,9,603.4124
sugarcane,13,0.8,108.6123
sugarcane,13,0.6,81.4592
sugarcane,13,0.5,67.8827
sugarcane,13,0.4,54.3061
sugarcane,13,0.2,27.1530
